model,model_label,split,probe_subj_accuracy,probe_subj_f1,probe_subj_auroc,probe_sent_accuracy,probe_sent_f1,probe_sent_auroc,precision_at_5,cluster_ari,cluster_nmi,sign_flip_rate
Static,Standard Transformer,test,0.8414,0.7556,0.9076,0.8676,0.8069,0.9091,0.7717,0.0201,0.0043,
Static,Standard Transformer,hard_verb,0.5256,0.3704,0.5036,0.5163,0.4348,0.5123,0.8056,0.0403,0.0224,
Static,Standard Transformer,hard_both,0.2464,0.037,0.0687,0.2464,0.0,0.0551,0.7478,0.0811,0.0324,
Static,Standard Transformer,ambiguous_test,0.5752,0.3993,0.5561,0.5568,0.4091,0.5618,0.6392,0.0514,0.0152,
Static,Standard Transformer,continuation,0.7204,0.6934,0.7938,0.7406,0.7253,0.8266,0.7448,0.0046,0.0106,
Static,Standard Transformer,interpolation,0.7613,0.678,0.7888,0.7513,0.6775,0.8021,0.694,0.0867,0.0439,
Static,Standard Transformer,contrastive,,,,,,,,,,0.0
Additive,Additive Time-Conditioned Transformer,test,0.8912,0.8407,0.957,0.9043,0.8593,0.9591,0.8073,-0.0003,0.0008,
Additive,Additive Time-Conditioned Transformer,hard_verb,0.4884,0.3956,0.3353,0.4837,0.3934,0.3158,0.9451,-0.0032,0.0003,
Additive,Additive Time-Conditioned Transformer,hard_both,0.2899,0.1091,0.0986,0.2464,0.0,0.0397,0.8,-0.0056,0.0017,
Additive,Additive Time-Conditioned Transformer,ambiguous_test,0.565,0.4278,0.5594,0.5616,0.4173,0.5471,0.6866,-0.0,0.0001,
Additive,Additive Time-Conditioned Transformer,continuation,0.7557,0.7668,0.7765,0.7594,0.7662,0.7739,0.727,-0.0011,0.0001,
Additive,Additive Time-Conditioned Transformer,interpolation,0.7663,0.7029,0.779,0.7663,0.701,0.7778,0.6749,-0.0018,0.0001,
Additive,Additive Time-Conditioned Transformer,contrastive,,,,,,,,,,0.5172
Joint,Token-Time Transformer,test,0.886,0.8291,0.9585,0.8886,0.8356,0.9596,0.8079,-0.0003,0.0008,
Joint,Token-Time Transformer,hard_verb,0.4837,0.3799,0.3266,0.4791,0.3846,0.3421,0.8326,-0.0032,0.0003,
Joint,Token-Time Transformer,hard_both,0.2029,0.0351,0.0309,0.1884,0.0667,0.0474,0.742,-0.0056,0.0017,
Joint,Token-Time Transformer,ambiguous_test,0.5836,0.4418,0.5632,0.5826,0.4474,0.5707,0.6792,-0.0,0.0001,
Joint,Token-Time Transformer,continuation,0.767,0.7719,0.7767,0.7758,0.7829,0.8035,0.702,-0.0011,0.0001,
Joint,Token-Time Transformer,interpolation,0.7714,0.7129,0.7794,0.7462,0.6873,0.7704,0.7116,-0.0018,0.0001,
Joint,Token-Time Transformer,contrastive,,,,,,,,,,0.6897
Timeformer,Memory-Augmented Timeformer,test,0.8585,0.784,0.9233,0.8401,0.7617,0.9184,0.7651,-0.0003,0.0008,
Timeformer,Memory-Augmented Timeformer,hard_verb,0.586,0.4606,0.5045,0.5628,0.4535,0.482,0.8419,-0.0032,0.0003,
Timeformer,Memory-Augmented Timeformer,hard_both,0.3333,0.0417,0.0967,0.3043,0.0769,0.0909,0.742,-0.0056,0.0017,
Timeformer,Memory-Augmented Timeformer,ambiguous_test,0.6384,0.4738,0.6267,0.6138,0.4694,0.619,0.6834,-0.0,0.0001,
Timeformer,Memory-Augmented Timeformer,continuation,0.7443,0.7421,0.7899,0.7695,0.7721,0.7981,0.7343,-0.0011,0.0001,
Timeformer,Memory-Augmented Timeformer,interpolation,0.7789,0.7197,0.8069,0.7538,0.7012,0.7972,0.6955,-0.0018,0.0001,
Timeformer,Memory-Augmented Timeformer,contrastive,,,,,,,,,,0.4138
