model,model_label,split,probe_subj_accuracy,probe_subj_f1,probe_subj_auroc,probe_sent_accuracy,probe_sent_f1,probe_sent_auroc,precision_at_5,cluster_ari,cluster_nmi,sign_flip_rate
Static,Standard Transformer,test,0.8558,0.7782,0.9246,0.8585,0.7882,0.928,0.7612,-0.0039,0.0005,
Static,Standard Transformer,hard_verb,0.5302,0.3952,0.4437,0.5395,0.4072,0.4374,0.7367,-0.0001,0.0065,
Static,Standard Transformer,hard_both,0.3623,0.0435,0.1257,0.3188,0.0408,0.0638,0.6841,-0.014,0.0023,
Static,Standard Transformer,ambiguous_test,0.5892,0.3987,0.5571,0.5806,0.3955,0.5472,0.6379,0.0048,0.0008,
Static,Standard Transformer,continuation,0.7154,0.687,0.7791,0.7229,0.7003,0.7841,0.7355,-0.001,0.0005,
Static,Standard Transformer,interpolation,0.7563,0.6712,0.7973,0.7739,0.6918,0.7952,0.7065,-0.0034,0.0002,
Static,Standard Transformer,contrastive,,,,,,,,,,0.0
Additive,Additive Time-Conditioned Transformer,test,0.8965,0.8466,0.9597,0.8886,0.8362,0.9596,0.8417,-0.0003,0.0008,
Additive,Additive Time-Conditioned Transformer,hard_verb,0.493,0.4044,0.3216,0.4791,0.3846,0.3243,0.906,-0.0032,0.0003,
Additive,Additive Time-Conditioned Transformer,hard_both,0.2464,0.037,0.0561,0.2754,0.0741,0.0696,0.8754,-0.0056,0.0017,
Additive,Additive Time-Conditioned Transformer,ambiguous_test,0.5738,0.4258,0.565,0.574,0.4302,0.5643,0.6864,-0.0,0.0001,
Additive,Additive Time-Conditioned Transformer,continuation,0.7519,0.7646,0.7768,0.7607,0.7749,0.7797,0.7144,-0.0011,0.0001,
Additive,Additive Time-Conditioned Transformer,interpolation,0.7714,0.7074,0.7874,0.7688,0.7051,0.7864,0.7055,-0.0018,0.0001,
Additive,Additive Time-Conditioned Transformer,contrastive,,,,,,,,,,0.6207
Joint,Token-Time Transformer,test,0.844,0.768,0.9205,0.8493,0.7818,0.9268,0.7298,-0.0016,0.0005,
Joint,Token-Time Transformer,hard_verb,0.6,0.4881,0.5478,0.6233,0.5424,0.5351,0.827,0.0057,0.0038,
Joint,Token-Time Transformer,hard_both,0.3333,0.1481,0.1412,0.2754,0.0741,0.1306,0.6957,0.0072,0.006,
Joint,Token-Time Transformer,ambiguous_test,0.64,0.4889,0.632,0.6186,0.4802,0.6242,0.6925,-0.0001,0.0015,
Joint,Token-Time Transformer,continuation,0.7443,0.7569,0.771,0.7632,0.7735,0.7811,0.7244,0.0021,0.0022,
Joint,Token-Time Transformer,interpolation,0.7789,0.725,0.8297,0.7764,0.7192,0.8078,0.7211,-0.0007,0.0002,
Joint,Token-Time Transformer,contrastive,,,,,,,,,,0.7586
Timeformer,Memory-Augmented Timeformer,test,0.8571,0.79,0.9281,0.8755,0.8197,0.952,0.7426,-0.002,0.0016,
Timeformer,Memory-Augmented Timeformer,hard_verb,0.5395,0.4072,0.5284,0.5163,0.4157,0.4365,0.813,-0.0044,0.0001,
Timeformer,Memory-Augmented Timeformer,hard_both,0.2319,0.0,0.0928,0.2319,0.0364,0.0551,0.7362,-0.0113,0.0007,
Timeformer,Memory-Augmented Timeformer,ambiguous_test,0.6046,0.447,0.6088,0.5724,0.4397,0.5846,0.6901,-0.0014,0.0002,
Timeformer,Memory-Augmented Timeformer,continuation,0.7418,0.7472,0.7845,0.7821,0.7888,0.7894,0.7222,0.0005,0.0026,
Timeformer,Memory-Augmented Timeformer,interpolation,0.7613,0.6965,0.8058,0.7588,0.7019,0.7935,0.6754,-0.0026,0.0004,
Timeformer,Memory-Augmented Timeformer,contrastive,,,,,,,,,,0.4138
