model,model_label,split,probe_subj_accuracy,probe_subj_f1,probe_subj_auroc,probe_sent_accuracy,probe_sent_f1,probe_sent_auroc,precision_at_5,cluster_ari,cluster_nmi,sign_flip_rate
Static,Standard Transformer,test,0.8768,0.8127,0.935,0.8834,0.8224,0.9571,0.8231,-0.0049,0.0013,
Static,Standard Transformer,hard_verb,0.4791,0.3636,0.37,0.4698,0.3596,0.3204,0.8047,-0.0058,0.0006,
Static,Standard Transformer,hard_both,0.3188,0.0,0.0338,0.2609,0.0,0.0435,0.7507,-0.022,0.013,
Static,Standard Transformer,ambiguous_test,0.572,0.3907,0.5439,0.5672,0.3915,0.5407,0.6371,-0.0057,0.0071,
Static,Standard Transformer,continuation,0.7254,0.7054,0.785,0.7166,0.6972,0.7868,0.7509,0.011,0.0078,
Static,Standard Transformer,interpolation,0.7513,0.6711,0.7902,0.7638,0.6803,0.7947,0.7367,-0.006,0.0062,
Static,Standard Transformer,contrastive,,,,,,,,,,0.0
Additive,Additive Time-Conditioned Transformer,test,0.8755,0.8119,0.9408,0.8925,0.8373,0.9591,0.7664,-0.0013,0.0023,
Additive,Additive Time-Conditioned Transformer,hard_verb,0.5116,0.4199,0.4229,0.4837,0.3799,0.3431,0.8177,0.0137,0.0123,
Additive,Additive Time-Conditioned Transformer,hard_both,0.2899,0.1695,0.1248,0.2174,0.069,0.0677,0.6841,-0.0123,0.0,
Additive,Additive Time-Conditioned Transformer,ambiguous_test,0.5998,0.4617,0.6044,0.5786,0.4319,0.585,0.6868,-0.0011,0.0006,
Additive,Additive Time-Conditioned Transformer,continuation,0.7569,0.77,0.8117,0.7683,0.7751,0.8008,0.7262,0.0121,0.0085,
Additive,Additive Time-Conditioned Transformer,interpolation,0.7638,0.6908,0.7883,0.7814,0.7184,0.8039,0.697,-0.002,0.0001,
Additive,Additive Time-Conditioned Transformer,contrastive,,,,,,,,,,0.5172
Joint,Token-Time Transformer,test,0.8873,0.832,0.9458,0.8899,0.834,0.9561,0.8183,-0.0019,0.0017,
Joint,Token-Time Transformer,hard_verb,0.4605,0.3556,0.3144,0.4744,0.3687,0.3143,0.9079,-0.0061,0.0012,
Joint,Token-Time Transformer,hard_both,0.2754,0.1071,0.1238,0.2464,0.0714,0.0735,0.7681,-0.0119,0.0,
Joint,Token-Time Transformer,ambiguous_test,0.607,0.4636,0.5948,0.5902,0.4424,0.5895,0.682,0.0021,0.0062,
Joint,Token-Time Transformer,continuation,0.7746,0.7846,0.7735,0.7796,0.7879,0.7804,0.706,0.007,0.0054,
Joint,Token-Time Transformer,interpolation,0.7638,0.6968,0.7804,0.7714,0.7129,0.7924,0.7156,-0.0017,0.0057,
Joint,Token-Time Transformer,contrastive,,,,,,,,,,0.5517
Timeformer,Memory-Augmented Timeformer,test,0.9004,0.8521,0.9604,0.8952,0.8438,0.9597,0.8412,-0.0012,0.0,
Timeformer,Memory-Augmented Timeformer,hard_verb,0.5116,0.4444,0.3484,0.4884,0.3889,0.3479,0.9153,-0.004,0.0001,
Timeformer,Memory-Augmented Timeformer,hard_both,0.2464,0.1034,0.0803,0.2174,0.0357,0.0503,0.8522,-0.0056,0.0017,
Timeformer,Memory-Augmented Timeformer,ambiguous_test,0.5896,0.4571,0.5864,0.5948,0.4495,0.5939,0.6839,0.001,0.0012,
Timeformer,Memory-Augmented Timeformer,continuation,0.7821,0.7928,0.7924,0.772,0.7801,0.7984,0.7189,0.0048,0.0041,
Timeformer,Memory-Augmented Timeformer,interpolation,0.7764,0.7138,0.7991,0.7739,0.7097,0.799,0.7206,-0.0018,0.0001,
Timeformer,Memory-Augmented Timeformer,contrastive,,,,,,,,,,0.6207
