model,model_label,split,probe_subj_accuracy,probe_subj_f1,probe_subj_auroc,probe_sent_accuracy,probe_sent_f1,probe_sent_auroc,precision_at_5,cluster_ari,cluster_nmi,sign_flip_rate
Static,Standard Transformer,test,0.8755,0.8126,0.9313,0.886,0.8291,0.941,0.7911,-0.0071,0.0013,
Static,Standard Transformer,hard_verb,0.5163,0.3953,0.4857,0.5163,0.3882,0.4616,0.7526,0.0027,0.0018,
Static,Standard Transformer,hard_both,0.1884,0.0,0.0406,0.2609,0.0,0.0242,0.7072,-0.019,0.0014,
Static,Standard Transformer,ambiguous_test,0.5682,0.3937,0.5513,0.5582,0.3842,0.5491,0.632,-0.004,0.0004,
Static,Standard Transformer,continuation,0.7267,0.7079,0.7934,0.7317,0.7171,0.7982,0.7499,-0.001,0.0008,
Static,Standard Transformer,interpolation,0.7688,0.6892,0.805,0.7638,0.6846,0.795,0.6965,-0.007,0.0017,
Static,Standard Transformer,contrastive,,,,,,,,,,0.0
Additive,Additive Time-Conditioned Transformer,test,0.8991,0.8481,0.9618,0.8899,0.8353,0.9606,0.8343,-0.0003,0.0008,
Additive,Additive Time-Conditioned Transformer,hard_verb,0.5023,0.4022,0.3354,0.4791,0.3563,0.338,0.9451,-0.0032,0.0003,
Additive,Additive Time-Conditioned Transformer,hard_both,0.1739,0.0,0.0309,0.1739,0.0,0.0387,0.913,-0.0056,0.0017,
Additive,Additive Time-Conditioned Transformer,ambiguous_test,0.577,0.4248,0.5729,0.5732,0.4192,0.5765,0.676,-0.0,0.0001,
Additive,Additive Time-Conditioned Transformer,continuation,0.7771,0.7812,0.7818,0.7771,0.7818,0.7854,0.7086,-0.0011,0.0001,
Additive,Additive Time-Conditioned Transformer,interpolation,0.7688,0.707,0.7965,0.7688,0.7125,0.7958,0.7296,-0.0018,0.0001,
Additive,Additive Time-Conditioned Transformer,contrastive,,,,,,,,,,0.4483
Joint,Token-Time Transformer,test,0.882,0.8235,0.9579,0.8834,0.8251,0.9575,0.8336,-0.0003,0.0008,
Joint,Token-Time Transformer,hard_verb,0.507,0.4239,0.3132,0.5302,0.442,0.3271,0.9395,-0.0032,0.0003,
Joint,Token-Time Transformer,hard_both,0.1884,0.0,0.03,0.1739,0.0,0.0087,0.8435,-0.0056,0.0017,
Joint,Token-Time Transformer,ambiguous_test,0.5738,0.422,0.5525,0.5708,0.4225,0.5489,0.6624,-0.0,0.0001,
Joint,Token-Time Transformer,continuation,0.7569,0.7689,0.7671,0.7657,0.7748,0.7651,0.6879,-0.0011,0.0001,
Joint,Token-Time Transformer,interpolation,0.7764,0.7157,0.787,0.7789,0.725,0.7843,0.6879,-0.0018,0.0001,
Joint,Token-Time Transformer,contrastive,,,,,,,,,,0.5517
Timeformer,Memory-Augmented Timeformer,test,0.903,0.8566,0.9551,0.8925,0.8405,0.9582,0.8364,0.0006,0.0021,
Timeformer,Memory-Augmented Timeformer,hard_verb,0.5023,0.4022,0.3866,0.507,0.4111,0.3316,0.9209,-0.0011,0.0015,
Timeformer,Memory-Augmented Timeformer,hard_both,0.2319,0.1017,0.0948,0.2754,0.1071,0.0658,0.8522,-0.0056,0.0017,
Timeformer,Memory-Augmented Timeformer,ambiguous_test,0.5808,0.4426,0.584,0.5758,0.4346,0.5677,0.6845,-0.0002,0.0,
Timeformer,Memory-Augmented Timeformer,continuation,0.7708,0.7797,0.7845,0.7783,0.79,0.7902,0.7161,-0.0,0.0008,
Timeformer,Memory-Augmented Timeformer,interpolation,0.7588,0.6962,0.7889,0.7663,0.701,0.8025,0.7281,-0.0012,0.0006,
Timeformer,Memory-Augmented Timeformer,contrastive,,,,,,,,,,0.6207
